R0,policy,campus,auc,rank_in_campus_R0
0.8,betweenness,Bowdoin47,1.977997799779978e-06,2
0.8,betweenness,Caltech36,1.2122865829890076e-06,3
0.8,betweenness,Harvard1,2.2252616352713093e-06,2
0.8,betweenness,Penn94,8.783982211780501e-08,2
0.8,betweenness,Tennessee95,5.831127378509188e-07,3
0.8,distance_threshold,Bowdoin47,2.376897689768977e-06,3
0.8,distance_threshold,Caltech36,1.1031418102440166e-06,2
0.8,distance_threshold,Harvard1,5.195361774013805e-06,4
0.8,distance_threshold,Penn94,4.49210704968802e-07,4
0.8,distance_threshold,Tennessee95,5.545067671637282e-07,2
0.8,gnn,Bowdoin47,5.166116611661166e-07,1
0.8,gnn,Caltech36,7.15937735505834e-07,1
0.8,gnn,Harvard1,5.821737549600115e-07,1
0.8,gnn,Penn94,4.4408572213153525e-08,1
0.8,gnn,Tennessee95,1.6454994147585813e-07,1
0.8,random,Bowdoin47,3.6704070407040713e-06,4
0.8,random,Caltech36,4.931004911514774e-06,4
0.8,random,Harvard1,3.1275472768011256e-06,3
0.8,random,Penn94,1.5336809104639278e-07,3
0.8,random,Tennessee95,8.840732102897514e-07,4
1.5,betweenness,Bowdoin47,0.01240646468646865,4
1.5,betweenness,Caltech36,0.017081190717496947,4
1.5,betweenness,Harvard1,0.006475168440216686,4
1.5,betweenness,Penn94,0.00036657351513753075,2
1.5,betweenness,Tennessee95,0.0033464985825318707,4
1.5,distance_threshold,Bowdoin47,0.009627438943894392,2
1.5,distance_threshold,Caltech36,0.01268100036381591,2
1.5,distance_threshold,Harvard1,0.003812117063489459,2
1.5,distance_threshold,Penn94,0.0006034444532906681,3
1.5,distance_threshold,Tennessee95,0.0026641580309294407,2
1.5,gnn,Bowdoin47,0.004997541474147414,1
1.5,gnn,Caltech36,0.008101626776850914,1
1.5,gnn,Harvard1,0.0013903290769883034,1
1.5,gnn,Penn94,0.00010612263821721155,1
1.5,gnn,Tennessee95,0.0007575146514474737,1
1.5,random,Bowdoin47,0.012014137293729374,3
1.5,random,Caltech36,0.015251301291546476,3
1.5,random,Harvard1,0.004569531944245731,3
1.5,random,Penn94,0.0011241610879837985,4
1.5,random,Tennessee95,0.0032224773820375497,3
3.0,betweenness,Bowdoin47,0.12364596039603962,3
3.0,betweenness,Caltech36,0.12338007133390504,3
3.0,betweenness,Harvard1,0.08962470239931325,3
3.0,betweenness,Penn94,0.05218609780469573,3
3.0,betweenness,Tennessee95,0.08090293559661674,4
3.0,distance_threshold,Bowdoin47,0.11362357689768977,1
3.0,distance_threshold,Caltech36,0.11881269457654427,2
3.0,distance_threshold,Harvard1,0.07734830722996733,1
3.0,distance_threshold,Penn94,0.049461036579028665,2
3.0,distance_threshold,Tennessee95,0.07606818103351243,2
3.0,gnn,Bowdoin47,0.11929609570957098,2
3.0,gnn,Caltech36,0.11694248005509211,1
3.0,gnn,Harvard1,0.07903817732131162,2
3.0,gnn,Penn94,0.033557396637439174,1
3.0,gnn,Tennessee95,0.06405935878885645,1
3.0,random,Bowdoin47,0.12659658349834985,4
3.0,random,Caltech36,0.1258217425482706,4
3.0,random,Harvard1,0.08974982141989885,4
3.0,random,Penn94,0.056558576837556634,4
3.0,random,Tennessee95,0.07990861153441728,3
6.0,betweenness,Bowdoin47,0.20709587040704072,2
6.0,betweenness,Caltech36,0.19697606546087681,1
6.0,betweenness,Harvard1,0.15219207523728642,2
6.0,betweenness,Penn94,0.1431487135816336,2
6.0,betweenness,Tennessee95,0.15720027500806277,1
6.0,distance_threshold,Bowdoin47,0.20188748470847084,1
6.0,distance_threshold,Caltech36,0.20546474104103324,2
6.0,distance_threshold,Harvard1,0.14466622621064973,1
6.0,distance_threshold,Penn94,0.1277298985539444,1
6.0,distance_threshold,Tennessee95,0.16271030739317083,2
6.0,gnn,Bowdoin47,0.22325886028602862,4
6.0,gnn,Caltech36,0.21387537745900576,4
6.0,gnn,Harvard1,0.16784217161541157,4
6.0,gnn,Penn94,0.15064179402050376,4
6.0,gnn,Tennessee95,0.1715703926453787,4
6.0,random,Bowdoin47,0.21648350605060507,3
6.0,random,Caltech36,0.20801839609157768,3
6.0,random,Harvard1,0.16263556864734596,3
6.0,random,Penn94,0.1488069773780874,3
6.0,random,Tennessee95,0.1656911873489876,3
